icao,iata,city,degree_in,degree_out,strength_in,strength_out,betweenness,closeness,pagerank,eigen_undirected,n_pairs,n_severe_prev,n_propagated,propagation_rate,amplification,rho_spearman,strength_total,degree_total,log_strength
CYVR,YVR,Vancouver,4,4,1016,1007,0,235.78850305707536,0.23808975022098927,0.9522160550279526,604,94,28,0.2978723404255319,-0.09428840783370894,0.1858454287159634,2023,8,7.6128310304073565
CYYC,YYC,Calgary,4,4,960,1079,0.16666666666666666,251.40463313948575,0.23726427669919176,0.9520184270379264,644,114,28,0.24561403508771928,-0.041132085771833284,0.19903577212550305,2039,8,7.620705086838262
CYEG,YEG,Edmonton,4,4,517,272,0,85.52027533457327,0.12829208070783826,0.40683088451002997,92,23,6,0.2608695652173913,-0.41184305053610576,0.3479486519131881,789,8,6.672032945461067
CYYZ,YYZ,Toronto,4,4,1098,1244,0.5,255.6420629767444,0.2604758151058296,1,695,124,26,0.20967741935483872,-0.024867163068502396,0.10297456344742581,2342,8,7.759187438507795
CYUL,YUL,Montreal,4,4,569,558,0,171.04890820500586,0.135878077266151,0.5937037200007528,366,54,7,0.12962962962962962,0.01094803815159874,0.020886365602837752,1127,8,7.028201432058005
