icao24,ground_icao,ground_iata,ground_city,prev_dep_icao,prev_arr_icao,next_dep_icao,next_arr_icao,prev_arr_time_unix,next_dep_time_unix,prev_arr_time_utc,next_dep_time_utc,turnaround_min
c01d72,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1757312474,1757317417,2025-09-08T06:21:14+00:00,2025-09-08T07:43:37+00:00,82
c01d72,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1757390545,1757468373,2025-09-09T04:02:25+00:00,2025-09-10T01:39:33+00:00,1297
c01d72,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1757482445,1757487856,2025-09-10T05:34:05+00:00,2025-09-10T07:04:16+00:00,90
c01d72,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYVR,1757501393,1757512765,2025-09-10T10:49:53+00:00,2025-09-10T13:59:25+00:00,189
c01d72,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYC,1757529419,1757602604,2025-09-10T18:36:59+00:00,2025-09-11T14:56:44+00:00,1219
c01d72,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757606505,1757613563,2025-09-11T16:01:45+00:00,2025-09-11T17:59:23+00:00,117
c01d72,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757617467,1757621923,2025-09-11T19:04:27+00:00,2025-09-11T20:18:43+00:00,74
c01d72,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757871230,1757875633,2025-09-14T17:33:50+00:00,2025-09-14T18:47:13+00:00,73
c01d72,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYEG,1757879718,1757884321,2025-09-14T19:55:18+00:00,2025-09-14T21:12:01+00:00,76
c05ed0,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1756690745,1756697374,2025-09-01T01:39:05+00:00,2025-09-01T03:29:34+00:00,110
c05ed0,CYVR,YVR,Vancouver,CYUL,CYVR,CYVR,CYUL,1757023785,1757030715,2025-09-04T22:09:45+00:00,2025-09-05T00:05:15+00:00,115
c05ed0,CYUL,YUL,Montreal,CYVR,CYUL,CYUL,CYVR,1757046858,1757181174,2025-09-05T04:34:18+00:00,2025-09-06T17:52:54+00:00,2238
c05ed0,CYVR,YVR,Vancouver,CYUL,CYVR,CYVR,CYUL,1757199537,1757205612,2025-09-06T22:58:57+00:00,2025-09-07T00:40:12+00:00,101
c05ed0,CYUL,YUL,Montreal,CYVR,CYUL,CYUL,CYYZ,1757221488,1757243310,2025-09-07T05:04:48+00:00,2025-09-07T11:08:30+00:00,363
c05ed0,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYUL,1757247443,1757251027,2025-09-07T12:17:23+00:00,2025-09-07T13:17:07+00:00,59
c05ed0,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757255062,1757258962,2025-09-07T14:24:22+00:00,2025-09-07T15:29:22+00:00,65
