icao24,ground_icao,ground_iata,ground_city,prev_dep_icao,prev_arr_icao,next_dep_icao,next_arr_icao,prev_arr_time_unix,next_dep_time_unix,prev_arr_time_utc,next_dep_time_utc,turnaround_min
c04c36,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757015279,1757020285,2025-09-04T19:47:59+00:00,2025-09-04T21:11:25+00:00,83
c04c36,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757304443,1757329419,2025-09-08T04:07:23+00:00,2025-09-08T11:03:39+00:00,416
c04c36,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYVR,1757332945,1757354743,2025-09-08T12:02:25+00:00,2025-09-08T18:05:43+00:00,363
c04c36,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYC,1757371814,1757383323,2025-09-08T22:50:14+00:00,2025-09-09T02:02:03+00:00,191
c04c36,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYYZ,1757387253,1757398743,2025-09-09T03:07:33+00:00,2025-09-09T06:19:03+00:00,191
c04c36,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1757411952,1757422774,2025-09-09T09:59:12+00:00,2025-09-09T12:59:34+00:00,180
c04c36,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYVR,1757436492,1757445774,2025-09-09T16:48:12+00:00,2025-09-09T19:22:54+00:00,154
c04c36,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757449553,1757475244,2025-09-09T20:25:53+00:00,2025-09-10T03:34:04+00:00,428
c04c36,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYYZ,1757479138,1757507794,2025-09-10T04:38:58+00:00,2025-09-10T12:36:34+00:00,477
c04c36,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1757520624,1757531520,2025-09-10T16:10:24+00:00,2025-09-10T19:12:00+00:00,181
c04c36,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYEG,1757545073,1757618018,2025-09-10T22:57:53+00:00,2025-09-11T19:13:38+00:00,1215
c04c36,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757967208,1757972981,2025-09-15T20:13:28+00:00,2025-09-15T21:49:41+00:00,96
c036b1,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1756852469,1756857830,2025-09-02T22:34:29+00:00,2025-09-03T00:03:50+00:00,89
c036b1,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYVR,1756871663,1757078314,2025-09-03T03:54:23+00:00,2025-09-05T13:18:34+00:00,3444
c036b1,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757081905,1757086956,2025-09-05T14:18:25+00:00,2025-09-05T15:42:36+00:00,84
c036b1,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757091263,1757095980,2025-09-05T16:54:23+00:00,2025-09-05T18:13:00+00:00,78
c036b1,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757099871,1757108905,2025-09-05T19:17:51+00:00,2025-09-05T21:48:25+00:00,150
c0041d,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1756842755,1756849922,2025-09-02T19:52:35+00:00,2025-09-02T21:52:02+00:00,119
c0041d,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757025833,1757097506,2025-09-04T22:43:53+00:00,2025-09-05T18:38:26+00:00,1194
c0041d,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1757100235,1757109885,2025-09-05T19:23:55+00:00,2025-09-05T22:04:45+00:00,160
c0041d,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757112360,1757443088,2025-09-05T22:46:00+00:00,2025-09-09T18:38:08+00:00,5512
c0041d,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1757445509,1757541396,2025-09-09T19:18:29+00:00,2025-09-10T21:56:36+00:00,1598
c0041d,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757544034,1757616215,2025-09-10T22:40:34+00:00,2025-09-11T18:43:35+00:00,1203
c0757a,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1756834497,1756839438,2025-09-02T17:34:57+00:00,2025-09-02T18:57:18+00:00,82
c0757a,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYVR,1756851507,1756914651,2025-09-02T22:18:27+00:00,2025-09-03T15:50:51+00:00,1052
c060ba,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYUL,1756851072,1756857676,2025-09-02T22:11:12+00:00,2025-09-03T00:01:16+00:00,110
c060ba,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1756861402,1756897862,2025-09-03T01:03:22+00:00,2025-09-03T11:11:02+00:00,607
c060ba,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYEG,1756901150,1757164548,2025-09-03T12:05:50+00:00,2025-09-06T13:15:48+00:00,4389
c060ba,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757206516,1757257832,2025-09-07T00:55:16+00:00,2025-09-07T15:10:32+00:00,855
c060ba,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYVR,1757263077,1757688039,2025-09-07T16:37:57+00:00,2025-09-12T14:40:39+00:00,7082
c060ba,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757737163,1757772904,2025-09-13T04:19:23+00:00,2025-09-13T14:15:04+00:00,595
c013da,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1756839435,1757298573,2025-09-02T18:57:15+00:00,2025-09-08T02:29:33+00:00,7652
c013da,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757300514,1757686543,2025-09-08T03:01:54+00:00,2025-09-12T14:15:43+00:00,6433
c0653d,CYYC,YYC,Calgary,CYUL,CYYC,CYYC,CYUL,1756830777,1756837412,2025-09-02T16:32:57+00:00,2025-09-02T18:23:32+00:00,110
c0653d,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1756987403,1756992348,2025-09-04T12:03:23+00:00,2025-09-04T13:25:48+00:00,82
c0653d,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYYC,1756996437,1757001292,2025-09-04T14:33:57+00:00,2025-09-04T15:54:52+00:00,80
c0653d,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYUL,1757054876,1757139941,2025-09-05T06:47:56+00:00,2025-09-06T06:25:41+00:00,1417
c0653d,CYUL,YUL,Montreal,CYVR,CYUL,CYUL,CYEG,1757155678,1757161475,2025-09-06T10:47:58+00:00,2025-09-06T12:24:35+00:00,96
c0653d,CYYC,YYC,Calgary,CYUL,CYYC,CYYC,CYUL,1757263073,1757268695,2025-09-07T16:37:53+00:00,2025-09-07T18:11:35+00:00,93
c0653d,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYEG,1757281618,1757334697,2025-09-07T21:46:58+00:00,2025-09-08T12:31:37+00:00,884
c0653d,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757744499,1757766233,2025-09-13T06:21:39+00:00,2025-09-13T12:23:53+00:00,362
c0653d,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757770155,1757916890,2025-09-13T13:29:15+00:00,2025-09-15T06:14:50+00:00,2445
c0653d,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYVR,1757920615,1757939208,2025-09-15T07:16:55+00:00,2025-09-15T12:26:48+00:00,309
c0653d,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYUL,1757943175,1757952721,2025-09-15T13:32:55+00:00,2025-09-15T16:12:01+00:00,159
c03b15,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1756912257,1756921295,2025-09-03T15:10:57+00:00,2025-09-03T17:41:35+00:00,150
c03b15,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYUL,1756925204,1756947134,2025-09-03T18:46:44+00:00,2025-09-04T00:52:14+00:00,365
c03b15,CYUL,YUL,Montreal,CYYC,CYUL,CYUL,CYYC,1756960335,1756984548,2025-09-04T04:32:15+00:00,2025-09-04T11:15:48+00:00,403
c03b15,CYYC,YYC,Calgary,CYUL,CYYC,CYYC,CYYZ,1756999005,1757011537,2025-09-04T15:16:45+00:00,2025-09-04T18:45:37+00:00,208
c03b15,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYYC,1757022763,1757030622,2025-09-04T21:52:43+00:00,2025-09-05T00:03:42+00:00,130
c03b15,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYUL,1757044527,1757176660,2025-09-05T03:55:27+00:00,2025-09-06T16:37:40+00:00,2202
c03b15,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYZ,1757528547,1757596110,2025-09-10T18:22:27+00:00,2025-09-11T13:08:30+00:00,1126
c0807f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1756842235,1757002898,2025-09-02T19:43:55+00:00,2025-09-04T16:21:38+00:00,2677
c0807f,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYEG,1757015548,1757251200,2025-09-04T19:52:28+00:00,2025-09-07T13:20:00+00:00,3927
c0807f,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757531118,1757695086,2025-09-10T19:05:18+00:00,2025-09-12T16:38:06+00:00,2732
c012bd,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYUL,1756839117,1757214493,2025-09-02T18:51:57+00:00,2025-09-07T03:08:13+00:00,6256
c012bd,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYC,1757217898,1757245503,2025-09-07T04:04:58+00:00,2025-09-07T11:45:03+00:00,460
c012bd,CYYC,YYC,Calgary,CYUL,CYYC,CYYC,CYEG,1757260346,1757396866,2025-09-07T15:52:26+00:00,2025-09-09T05:47:46+00:00,2275
c012bd,CYVR,YVR,Vancouver,CYEG,CYVR,CYVR,CYEG,1757566886,1757595726,2025-09-11T05:01:26+00:00,2025-09-11T13:02:06+00:00,480
c05214,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1756913869,1756935394,2025-09-03T15:37:49+00:00,2025-09-03T21:36:34+00:00,358
c05214,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1757553221,1757604060,2025-09-11T01:13:41+00:00,2025-09-11T15:21:00+00:00,847
c06174,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYVR,1757025687,1757030668,2025-09-04T22:41:27+00:00,2025-09-05T00:04:28+00:00,83
c06174,CYVR,YVR,Vancouver,CYUL,CYVR,CYVR,CYYZ,1757048184,1757256571,2025-09-05T04:56:24+00:00,2025-09-07T14:49:31+00:00,3473
c06174,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYVR,1757271459,1757290060,2025-09-07T18:57:39+00:00,2025-09-08T00:07:40+00:00,310
c06174,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYZ,1757307098,1757516084,2025-09-08T04:51:38+00:00,2025-09-10T14:54:44+00:00,3483
c06174,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYVR,1757531789,1757697545,2025-09-10T19:16:29+00:00,2025-09-12T17:19:05+00:00,2762
c06174,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757811805,1757847933,2025-09-14T01:03:25+00:00,2025-09-14T11:05:33+00:00,602
c06174,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYYC,1757851016,1757856335,2025-09-14T11:56:56+00:00,2025-09-14T13:25:35+00:00,88
c06174,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1757870592,1757876289,2025-09-14T17:23:12+00:00,2025-09-14T18:58:09+00:00,94
c021f6,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYVR,1756868812,1756923393,2025-09-03T03:06:52+00:00,2025-09-03T18:16:33+00:00,909
c021f6,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1757167988,1757193132,2025-09-06T14:13:08+00:00,2025-09-06T21:12:12+00:00,419
c021f6,CYYC,YYC,Calgary,CYVR,CYYC,CYYC,CYYZ,1757197071,1757945477,2025-09-06T22:17:51+00:00,2025-09-15T14:11:17+00:00,12473
c001e4,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYVR,1756823005,1756827224,2025-09-02T14:23:25+00:00,2025-09-02T15:33:44+00:00,70
c05ce2,CYVR,YVR,Vancouver,CYYC,CYVR,CYVR,CYYC,1756927224,1757352966,2025-09-03T19:20:24+00:00,2025-09-08T17:36:06+00:00,7095
c060be,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1756791809,1756818585,2025-09-02T05:43:29+00:00,2025-09-02T13:09:45+00:00,446
c060be,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYEG,1756831223,1757078496,2025-09-02T16:40:23+00:00,2025-09-05T13:21:36+00:00,4121
c060be,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYUL,1757324116,1757332173,2025-09-08T09:35:16+00:00,2025-09-08T11:49:33+00:00,134
c060be,CYUL,YUL,Montreal,CYYZ,CYUL,CYUL,CYYZ,1757335585,1757340397,2025-09-08T12:46:25+00:00,2025-09-08T14:06:37+00:00,80
c060be,CYYZ,YYZ,Toronto,CYUL,CYYZ,CYYZ,CYVR,1757343743,1757382572,2025-09-08T15:02:23+00:00,2025-09-09T01:49:32+00:00,647
