date,dep_icao,arr_icao,flights,mean_duration_s,median_duration_s
2025-09-06,CYYZ,CYVR,23,16596,16714
2025-09-06,CYYZ,CYYC,20,13776,13737
2025-09-07,CYEG,CYUL,1,12880,12880
2025-09-07,CYEG,CYVR,8,4445,4423
2025-09-07,CYEG,CYYC,7,2297,2105
2025-09-07,CYEG,CYYZ,3,11494,11444
2025-09-07,CYUL,CYVR,5,17566,17760
2025-09-07,CYUL,CYYC,4,14519,14524
2025-09-07,CYUL,CYYZ,24,3684,3600
2025-09-07,CYVR,CYEG,9,4001,4000
2025-09-07,CYVR,CYUL,6,15908,15934
2025-09-07,CYVR,CYYC,32,4258,3747
2025-09-07,CYVR,CYYZ,18,14957,14931
2025-09-07,CYYC,CYEG,7,1978,1963
2025-09-07,CYYC,CYUL,6,13173,13117
2025-09-07,CYYC,CYVR,30,4247,3931
2025-09-07,CYYC,CYYZ,22,12170,12110
2025-09-07,CYYZ,CYEG,5,13992,13937
2025-09-07,CYYZ,CYUL,23,3596,3507
2025-09-07,CYYZ,CYVR,24,16842,16932
2025-09-07,CYYZ,CYYC,22,14000,14161
2025-09-08,CYEG,CYVR,5,4390,4426
2025-09-08,CYEG,CYYC,4,1980,1966
2025-09-08,CYEG,CYYZ,5,11732,11713
2025-09-08,CYUL,CYEG,2,14784,14784
2025-09-08,CYUL,CYVR,6,17845,18001
2025-09-08,CYUL,CYYC,5,14831,15119
2025-09-08,CYUL,CYYZ,23,3442,3452
2025-09-08,CYVR,CYEG,11,4210,4247
2025-09-08,CYVR,CYUL,7,15695,15780
2025-09-08,CYVR,CYYC,31,4209,3891
2025-09-08,CYVR,CYYZ,20,15075,14973
2025-09-08,CYYC,CYEG,17,1936,1964
2025-09-08,CYYC,CYUL,6,12839,12981
2025-09-08,CYYC,CYVR,33,4516,3808
2025-09-08,CYYC,CYYZ,25,11981,11998
2025-09-08,CYYZ,CYEG,10,14231,14197
2025-09-08,CYYZ,CYUL,28,3446,3342
2025-09-08,CYYZ,CYVR,27,16861,16885
2025-09-08,CYYZ,CYYC,23,14043,13896
2025-09-09,CYUL,CYEG,2,14568,14568
2025-09-09,CYUL,CYVR,3,17447,17692
2025-09-09,CYUL,CYYC,4,14462,14602
2025-09-09,CYUL,CYYZ,24,3325,3328
2025-09-09,CYVR,CYEG,19,4094,4080
2025-09-09,CYVR,CYUL,6,16606,16378
2025-09-09,CYVR,CYYC,28,4229,3928
2025-09-09,CYVR,CYYZ,23,17683,15387
